split_idx,n_splits,n_test,accuracy,f1_macro,mean_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate,target_scenario,feature_set,variant,shuffle_id
43,5,23,0.7391304347826086,0.4759615384615385,0.008026928331615947,0.7391304347826086,0.9130434782608695,0.9565217391304348,simple3_available,domain_label_score,real,
44,5,23,0.7391304347826086,0.4444444444444445,0.021262505404041426,0.782608695652174,0.8695652173913043,0.9565217391304348,simple3_available,domain_label_score,real,
45,5,23,0.6086956521739131,0.39057239057239057,0.006710500106027898,0.6521739130434783,0.782608695652174,0.9565217391304348,simple3_available,domain_label_score,real,
46,5,24,0.7916666666666666,0.5281385281385281,0.005014639287046305,0.8333333333333334,0.9583333333333334,0.9583333333333334,simple3_available,domain_label_score,real,
47,5,23,0.6521739130434783,0.4038461538461539,0.016141071375194542,0.6956521739130435,0.7391304347826086,0.8695652173913043,simple3_available,domain_label_score,real,
48,5,23,0.6956521739130435,0.35360360360360366,0.03224397157998018,0.6956521739130435,0.782608695652174,0.8260869565217391,simple3_available,domain_label_score,real,
49,5,23,0.6956521739130435,0.46319272125723737,0.03201236876258799,0.6956521739130435,0.782608695652174,0.8695652173913043,simple3_available,domain_label_score,real,
50,5,23,0.8260869565217391,0.5607843137254902,0.0010003220552123895,0.8260869565217391,0.9565217391304348,1.0,simple3_available,domain_label_score,real,
1,5,24,0.7083333333333334,0.4484848484848485,0.015823450871997897,0.75,0.8333333333333334,0.9583333333333334,simple3_available,semantic_tags_fixed_vocab,real,
2,5,23,0.6086956521739131,0.3636363636363636,0.03134001406316306,0.6086956521739131,0.7391304347826086,0.8260869565217391,simple3_available,semantic_tags_fixed_vocab,real,
3,5,23,0.6956521739130435,0.4000000000000001,0.010707561698081635,0.7391304347826086,0.8260869565217391,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
4,5,23,0.6521739130434783,0.4215686274509804,0.03262017180303395,0.6521739130434783,0.8260869565217391,0.8695652173913043,simple3_available,semantic_tags_fixed_vocab,real,
5,5,23,0.6521739130434783,0.4166666666666667,0.013738208360182847,0.6956521739130435,0.8260869565217391,0.8695652173913043,simple3_available,semantic_tags_fixed_vocab,real,
6,5,24,0.6666666666666666,0.3925925925925926,0.015338029340144882,0.7083333333333334,0.8333333333333334,0.875,simple3_available,semantic_tags_fixed_vocab,real,
7,5,23,0.6521739130434783,0.3333333333333333,0.011526579240835493,0.6956521739130435,0.782608695652174,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
8,5,23,0.782608695652174,0.5050505050505051,0.005584978035834904,0.782608695652174,0.9130434782608695,0.9565217391304348,simple3_available,semantic_tags_fixed_vocab,real,
9,5,23,0.7391304347826086,0.4930555555555555,0.006839345203921981,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
10,5,23,0.6956521739130435,0.43333333333333335,0.03574886207353007,0.7391304347826086,0.8695652173913043,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
11,5,24,0.5833333333333334,0.34640522875817,0.018707894537952848,0.625,0.75,0.7916666666666666,simple3_available,semantic_tags_fixed_vocab,real,
12,5,23,0.7391304347826086,0.4563279857397504,0.016592664871800247,0.782608695652174,0.9565217391304348,0.9565217391304348,simple3_available,semantic_tags_fixed_vocab,real,
13,5,23,0.782608695652174,0.4857142857142857,0.009383933985572907,0.8260869565217391,0.8695652173913043,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
14,5,23,0.6521739130434783,0.34259259259259256,0.00737871305461419,0.6956521739130435,0.782608695652174,0.9565217391304348,simple3_available,semantic_tags_fixed_vocab,real,
15,5,23,0.6956521739130435,0.4444444444444444,0.022317099588023807,0.6956521739130435,0.782608695652174,0.8695652173913043,simple3_available,semantic_tags_fixed_vocab,real,
16,5,24,0.6666666666666666,0.4215686274509804,0.022461910402746726,0.6666666666666666,0.7916666666666666,0.875,simple3_available,semantic_tags_fixed_vocab,real,
17,5,23,0.6956521739130435,0.4292929292929293,0.025521656158795796,0.7391304347826086,0.782608695652174,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
18,5,23,0.6086956521739131,0.39040529363110005,0.033177936671270294,0.6521739130434783,0.7391304347826086,0.8260869565217391,simple3_available,semantic_tags_fixed_vocab,real,
19,5,23,0.5652173913043478,0.3186274509803922,0.008183945106782832,0.5652173913043478,0.8695652173913043,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
20,5,23,0.6521739130434783,0.34259259259259256,0.016865310405127894,0.6956521739130435,0.8695652173913043,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
21,5,24,0.7083333333333334,0.4484848484848485,0.01991402678543812,0.75,0.9166666666666666,0.9583333333333334,simple3_available,semantic_tags_fixed_vocab,real,
22,5,23,0.6521739130434783,0.3333333333333333,0.02934676039020881,0.6956521739130435,0.782608695652174,0.8695652173913043,simple3_available,semantic_tags_fixed_vocab,real,
23,5,23,0.6956521739130435,0.4444444444444444,0.019565435223506834,0.6956521739130435,0.7391304347826086,0.8695652173913043,simple3_available,semantic_tags_fixed_vocab,real,
24,5,23,0.6521739130434783,0.388235294117647,0.009208497592990946,0.7391304347826086,0.8260869565217391,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
25,5,23,0.7391304347826086,0.49673202614379086,0.004453676964908668,0.7391304347826086,0.9130434782608695,0.9565217391304348,simple3_available,semantic_tags_fixed_vocab,real,
26,5,24,0.5833333333333334,0.3074074074074074,0.014231902312651838,0.625,0.8333333333333334,0.875,simple3_available,semantic_tags_fixed_vocab,real,
27,5,23,0.6521739130434783,0.4038461538461539,0.021933486814018535,0.6956521739130435,0.6956521739130435,0.8260869565217391,simple3_available,semantic_tags_fixed_vocab,real,
28,5,23,0.6521739130434783,0.3333333333333333,0.02780485827664355,0.6956521739130435,0.7391304347826086,0.782608695652174,simple3_available,semantic_tags_fixed_vocab,real,
29,5,23,0.782608695652174,0.5079365079365079,0.020626371286867444,0.8260869565217391,0.9130434782608695,0.9565217391304348,simple3_available,semantic_tags_fixed_vocab,real,
30,5,23,0.7391304347826086,0.47450980392156855,0.005862774804996612,0.7391304347826086,0.9130434782608695,0.9565217391304348,simple3_available,semantic_tags_fixed_vocab,real,
31,5,24,0.7916666666666666,0.5392385392385393,0.0019457495152186467,0.7916666666666666,0.9166666666666666,1.0,simple3_available,semantic_tags_fixed_vocab,real,
32,5,23,0.6086956521739131,0.2522522522522523,0.03254377958470885,0.6521739130434783,0.782608695652174,0.8260869565217391,simple3_available,semantic_tags_fixed_vocab,real,
33,5,23,0.7391304347826086,0.4563279857397504,0.00699201428222805,0.782608695652174,0.8695652173913043,0.9130434782608695,simple3_available,semantic_tags_fixed_vocab,real,
34,5,23,0.6956521739130435,0.46262626262626255,0.017712772150646136,0.6956521739130435,0.8695652173913043,0.8695652173913043,simple3_available,semantic_tags_fixed_vocab,real,
35,5,23,0.6521739130434783,0.2631578947368421,0.010483083263949238,0.7391304347826086,0.8260869565217391,0.9565217391304348,simple3_available,semantic_tags_fixed_vocab,real,
