did,DecisionTree,KNN,LogisticRegression,MLP,Perceptron,SVM,best_classifier,best_accuracy
40670,0.9146237998454748,0.7586325005044217,0.9322012962407052,0.948836877408306,0.9425569504387236,0.9595094560611802,SVM,0.9595094560611802
40701,0.9222,0.8936,0.8648,0.9238,0.8263999999999999,0.9062,MLP,0.9238
40926,0.2476499999999999,0.30425,0.31215,0.33565,0.2351499999999999,0.4936,SVM,0.4936
42178,0.6886240644557713,0.7359042317246274,0.8046264073488612,0.7593315496161044,0.7469829706755274,0.7941184713529905,LogisticRegression,0.8046264073488612
42477,0.7285333333333333,0.7912333333333333,0.8109666666666667,0.8125666666666668,0.7743333333333334,0.8190333333333333,SVM,0.8190333333333333
43098,0.8160000000000001,0.769,0.892,0.89,0.8400000000000001,0.889,LogisticRegression,0.892
43255,0.8160000000000001,0.769,0.892,0.89,0.8400000000000001,0.889,LogisticRegression,0.892
43595,0.6970545115287219,0.785072637611622,0.8045981607357058,0.7573770491803279,0.7736372117819539,0.8045848327335733,LogisticRegression,0.8045981607357058
43890,1.0,0.9359615384615384,1.0,0.9988942307692308,0.9453846153846154,0.9986057692307692,DecisionTree,1.0
43895,1.0,0.8891156462585034,0.9918367346938776,0.9918367346938776,0.8435374149659864,0.8462585034013607,DecisionTree,1.0
44097,0.6940000000000001,0.718,0.715,0.7,0.612,0.728,SVM,0.728
44098,0.6940000000000001,0.718,0.715,0.7,0.612,0.728,SVM,0.728
44149,0.7363276836158191,0.8244067796610169,0.8344067796610168,0.8140677966101695,0.7609604519774011,0.8446327683615819,SVM,0.8446327683615819
44226,0.7295490381583096,,0.8143803216650898,,0.6556922106590981,,LogisticRegression,0.8143803216650898
44232,0.905490948219584,0.8868885377131255,0.859588223906065,0.9153905029467247,0.838284911598255,0.8718892805849328,MLP,0.9153905029467247
44698,0.701,0.7529999999999999,0.7595,0.778,0.708,0.7764999999999999,MLP,0.778
45545,0.8962248553320473,0.8668724166437034,0.8259961421879305,0.8301846238633231,0.7118049049324883,0.8155084045191513,DecisionTree,0.8962248553320473
45557,0.7253130397236615,0.7638007340241796,0.790808506044905,0.7866688255613126,0.6879425734024179,0.7898100172711572,LogisticRegression,0.790808506044905
45562,0.8846723044397464,0.9276280869056724,0.9322755011770352,0.9222144752822636,0.9063260012295142,0.9342104868576911,SVM,0.9342104868576911
45748,0.8160000000000001,0.769,0.892,0.89,0.8400000000000001,0.889,LogisticRegression,0.892
46280,0.7300864168656042,0.7528005839086392,0.8034889347699853,0.7672847845022259,0.7616082085941029,0.7959637516936576,LogisticRegression,0.8034889347699853
46281,0.8963551043464293,0.9353494193187296,0.9394218580764188,0.9199760575861694,0.932599824836886,0.9403380440809896,SVM,0.9403380440809896
46371,0.7936571428571428,,0.8343142857142857,,0.731,,LogisticRegression,0.8343142857142857
46372,0.6992,0.6468,0.587,0.7232000000000001,0.4078,0.6362,MLP,0.7232000000000001
46382,0.79001554001554,0.39500777000777,0.4283508158508159,0.4992521367521368,0.2948815073815073,0.4380827505827506,DecisionTree,0.79001554001554
46455,0.998876404494382,0.9991924157303372,0.999122191011236,0.9992626404494382,0.9976825842696628,0.998630617977528,MLP,0.9992626404494382
46502,0.683,0.6900000000000001,0.734,0.7160000000000001,0.6709999999999999,0.7310000000000001,LogisticRegression,0.734
46526,0.8992444444444445,0.8969999999999999,0.8962,0.9186666666666669,0.8501555555555556,0.9076666666666666,MLP,0.9186666666666669
46600,0.8481636833634102,0.6853826269326441,0.6173389260108277,0.537501829000634,0.3884407159927815,0.4092766912159196,DecisionTree,0.8481636833634102
