did,name,nr_attr,desc,feats
880,mu284,10,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"ME84, P75, LABEL, CS82, REG, SS82, RMT85, S82, REV84, binaryClass, P85"
42544,Touch2,10,Touch samples 2,"f1, f5, a3, a2, a1, a5, f4, a4, f3, y, f2"
811,rmftsa_ctoarrivals,2,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"year, month, binaryClass"
1442,MegaWatt1,37,"**Author**: Hans Bauer Jesus"",""Deter Bergman **Source**: Unknown - Date unknown **Please cite**: Mega watt","a, ab, p, e, r, c, t, d, k, ag, s, af, ah, ai, ad, v, b, aa, o, m, ac, z, def, g, u, aj, i, ae, l, ak, j, am, h, an, al,"
1449,MeanWhile1,37,"**Author**: Hans Bauer Jesus"",""Deter Bergman **Source**: Unknown - Date unknown **Please cite**: Mean While 1","a, ab, p, e, r, c, t, d, k, ag, s, af, ah, ai, ad, v, b, aa, o, m, ac, z, def, g, u, aj, i, ae, l, ak, j, am, h, an, al,"
778,bodyfat,14,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"Chest, Knee, Abdomen, Ankle, Wrist, Weight, Density, Forearm, Neck, Age, Thigh, binaryClass, Hip, Biceps, Height"
911,fri_c2_250_5,5,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"oz3, oz4, oz5, binaryClass, oz2, oz1"
41538,conference_attendance,6,Data set shows information about participants of math conference. isPresent is target column for classification task.,"isPresent, tshirtSize, regDateCat, wegan, uni, favSubject, participation"
46279,algerian_forest_fires,13,"From original source: ----- Additional Information The dataset includes 244 instances that regroup a data of two regions of Algeria,namely the Bejaia region located in the northeas","DC, DMC, FWI, Classes, year, month, Ws, Temperature, day, FFMC, RH, ISI, BUI, Rain"
851,tecator,124,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"absorbance_62, absorbance_87, absorbance_99, absorbance_25, absorbance_65, absorbance_71, principal_component_18, absorb"
820,chatfield_4,12,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_10, col_1, col_2, col_3, col_9, col_8, col_5, col_4, col_11, col_7, binaryClass, col_12"
939,chscase_whale,8,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_6, col_10, col_1, col_2, col_3, col_9, col_8, col_4, col_7, binaryClass"
895,chscase_geyser1,2,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"col_1, binaryClass, col_2"
996,prnn_fglass,9,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"Si, K, Ca, Mg, Al, Na, Fe, RI, Ba, binaryClass"
1005,glass,9,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"Si, K, Ca, Mg, Al, Na, Fe, RI, Ba, binaryClass"
796,cpu,7,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"MMIN, CHMIN, vendor, MYCT, CHMAX, MMAX, binaryClass, CACH"
733,machine_cpu,6,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"MMIN, CHMIN, MYCT, CHMAX, MMAX, binaryClass, CACH"
840,autoHorse,25,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"fuel-type, price, body-style, bore, normalized-losses, symboling, width, wheel-base, stroke, engine-type, fuel-system, h"
975,autos,25,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-cla,"fuel-type, price, body-style, bore, normalized-losses, width, wheel-base, stroke, engine-type, fuel-system, horsepower, "
42172,regime_alimentaire,19,#modelage,"boissons_sucrees, legumes_secs, Origine_Ethnique, Age, produits_laitiers, riz_pates_semoule_pommes_de_terre, Taille, com"
721,pwLinear,10,**Author**: **Source**: Unknown - Date unknown **Please cite**: Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class no,"a8, a6, a7, a3, a2, a1, a5, a4, a10, a9, binaryClass"
