did,Dataset,domain,Classifier,acc_mean,acc_stddev,train_time,test_time,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5
43595,Loan-Predication,finance,KNN,0.785072637611622,0.0240186130003047,0.1602075099945068,0.0654032230377197,0.7967479674796748,0.7886178861788617,0.7723577235772358,0.7479674796747967,0.819672131147541
43595,Loan-Predication,finance,LogisticRegression,0.8045981607357058,0.0254488210629395,0.2893037796020508,0.0946195125579834,0.8130081300813008,0.8211382113821138,0.8048780487804879,0.7560975609756098,0.8278688524590164
43595,Loan-Predication,finance,Perceptron,0.7736372117819539,0.0381454406293693,0.2053470611572265,0.0772633552551269,0.7967479674796748,0.7804878048780488,0.8048780487804879,0.6991869918699187,0.7868852459016393
43595,Loan-Predication,finance,MLP,0.7573770491803279,0.0239020690717412,8.28986668586731,0.0446722507476806,0.7804878048780488,0.7235772357723578,0.7560975609756098,0.7398373983739838,0.7868852459016393
46605,differentiated_thyroid_cancer_recurrence,health,DecisionTree,0.9267942583732056,0.0231867329989006,0.1417536735534668,0.0531072616577148,0.948051948051948,0.935064935064935,0.935064935064935,0.9342105263157896,0.881578947368421
46605,differentiated_thyroid_cancer_recurrence,health,SVM,0.9269309637730688,0.017673039659084,0.242725133895874,0.0999224185943603,0.922077922077922,0.922077922077922,0.922077922077922,0.9605263157894736,0.9078947368421052
46605,differentiated_thyroid_cancer_recurrence,health,KNN,0.9085782638414216,0.0221466967040809,0.2325620651245117,0.5725729465484619,0.922077922077922,0.9090909090909092,0.9090909090909092,0.868421052631579,0.9342105263157896
46605,differentiated_thyroid_cancer_recurrence,health,LogisticRegression,0.9059466848940532,0.0155877878856656,0.3834939002990722,0.126164436340332,0.922077922077922,0.922077922077922,0.8961038961038961,0.9078947368421052,0.881578947368421
46605,differentiated_thyroid_cancer_recurrence,health,Perceptron,0.8691387559808612,0.04910778784046,0.2845480442047119,0.0976290702819824,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.8157894736842105,0.8026315789473685
46605,differentiated_thyroid_cancer_recurrence,health,MLP,0.9346548188653452,0.0146658359594148,9.51519250869751,0.169236421585083,0.935064935064935,0.948051948051948,0.948051948051948,0.9342105263157896,0.9078947368421052
