seed,config,n_observations,n_unique_datasets,regret_coverage,hit_best_rate,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,chosen_accuracy_mean,oracle_accuracy_mean,domain
2222,real_domain_rank,547.0,547.0,0.9890310786106032,0.37842778793418647,0.027311657887015364,0.0029999999999998916,0.08006379585326967,0.4177449168207024,0.5951940850277264,0.7936607912139201,0.8209724491009354,ALL
4096,baseline_stats,547.0,547.0,0.9890310786106032,0.39853747714808047,0.02688688538906799,0.002216449619352856,0.08050000000000002,0.43068391866913125,0.6118299445471349,0.7936956749848073,0.8205825603738751,ALL
4096,real_domain_rank,547.0,547.0,0.9890310786106032,0.40950639853747717,0.024588302795956536,0.002000000000000113,0.07599999999999996,0.4454713493530499,0.6303142329020333,0.7956490368623351,0.8202373396582916,ALL
7777,baseline_stats,547.0,547.0,0.9890310786106032,0.42778793418647165,0.025191132082342367,0.0014116693496638577,0.07599999999999996,0.4676524953789279,0.6247689463955638,0.7956554234329463,0.8208465555152886,ALL
7777,real_domain_rank,547.0,547.0,0.9926873857404022,0.44972577696526506,0.024589034638865363,0.0007954046410315607,0.06855530135516852,0.47697974217311234,0.6427255985267035,0.7967204976855271,0.8213095323243926,ALL
9001,baseline_stats,547.0,547.0,0.9890310786106032,0.38391224862888484,0.02836452271110429,0.0029999999999998916,0.07828868578632198,0.4214417744916821,0.6044362292051756,0.7926079263898312,0.8209724491009354,ALL
9001,real_domain_rank,547.0,547.0,0.9908592321755028,0.37842778793418647,0.02835548115362176,0.0029084507042252405,0.07954129429149982,0.42066420664206644,0.5996309963099631,0.7927094386503841,0.8210649198040059,ALL
12345,baseline_stats,547.0,547.0,0.9926873857404022,0.4040219378427788,0.024249100090957387,0.0027777777777777124,0.07579999999999999,0.43830570902394106,0.6151012891344383,0.7959609308204125,0.8202100309113698,ALL
12345,real_domain_rank,547.0,547.0,0.9963436928702011,0.4369287020109689,0.022191574455538064,0.001073505412369835,0.06387232231522202,0.47339449541284406,0.6330275229357798,0.7983301472968269,0.8205217217523649,ALL
1,baseline_stats,143.0,143.0,0.958041958041958,0.46853146853146854,0.020740068388700992,0.0,0.0562,0.5109489051094891,0.6715328467153284,0.7957572376361821,0.8164973060248832,biology
1,baseline_stats,40.0,40.0,1.0,0.375,0.031300776534629204,0.0017058346748319297,0.08927462762483326,0.4,0.625,0.8078791319934668,0.839179908528096,education
1,baseline_stats,60.0,60.0,1.0,0.36666666666666664,0.04777589383859542,0.006594168027203362,0.1684517969195664,0.38333333333333336,0.5333333333333333,0.6864278026385886,0.734203696477184,finance
1,baseline_stats,48.0,48.0,0.9791666666666666,0.2916666666666667,0.01931035961252888,0.00897694359756085,0.04332522474881007,0.3617021276595745,0.5106382978723404,0.7941463355053984,0.8134566951179273,health
1,baseline_stats,35.0,35.0,0.9714285714285714,0.42857142857142855,0.019478576051990954,0.0018422070686609088,0.06947345002100046,0.4411764705882353,0.6176470588235294,0.8495752402302181,0.8690538162822091,image
1,baseline_stats,164.0,164.0,1.0,0.35365853658536583,0.02683162637780208,0.004534119389382418,0.08726341463414641,0.3902439024390244,0.5609756097560976,0.8241069631968793,0.8509385895746814,other
1,baseline_stats,16.0,16.0,1.0,0.4375,0.021967062202084133,0.003692722371967716,0.07438380304199699,0.5,0.6875,0.8494359314476434,0.8714029936497274,sensor_signal
1,baseline_stats,26.0,26.0,0.8846153846153846,0.2692307692307692,0.02190767718358339,0.005183389143825767,0.048620244472358444,0.34782608695652173,0.6086956521739131,0.7345318018869975,0.7564394790705811,social
1,baseline_stats,15.0,15.0,1.0,0.26666666666666666,0.03159615250338286,0.01333784110924685,0.10985517058269084,0.3333333333333333,0.4666666666666667,0.7680350806853603,0.7996312331887431,text
1,real_domain_rank,143.0,143.0,0.965034965034965,0.46153846153846156,0.021307803407983588,8.34028356966332e-06,0.05712746478873231,0.5,0.6666666666666666,0.7941210438775889,0.8154288472855725,biology
1,real_domain_rank,40.0,40.0,1.0,0.375,0.028968618064693474,0.0012425873810168464,0.08176922221942776,0.425,0.65,0.8102112904634027,0.839179908528096,education
1,real_domain_rank,60.0,60.0,1.0,0.4666666666666667,0.041284901161671814,0.0010351123595504497,0.16280889903023404,0.48333333333333334,0.6166666666666667,0.692918795315512,0.734203696477184,finance
1,real_domain_rank,48.0,48.0,0.9791666666666666,0.22916666666666666,0.021740527753431597,0.011111111111111183,0.05825151416659784,0.2978723404255319,0.46808510638297873,0.7917161673644956,0.8134566951179273,health
1,real_domain_rank,35.0,35.0,0.9714285714285714,0.45714285714285713,0.016530730329039418,9.090909090897492e-05,0.048091131263759614,0.5,0.7058823529411765,0.8525230859531697,0.8690538162822091,image
1,real_domain_rank,164.0,164.0,1.0,0.34146341463414637,0.02991764672996859,0.004522925359531693,0.08987602952602937,0.3902439024390244,0.5670731707317073,0.821020942844713,0.8509385895746814,other
1,real_domain_rank,16.0,16.0,1.0,0.4375,0.025646348160264832,0.003692722371967716,0.09203610604718998,0.5,0.625,0.8457566454894627,0.8714029936497274,sensor_signal
1,real_domain_rank,26.0,26.0,0.9615384615384616,0.3076923076923077,0.028528706969304894,0.006818181818181834,0.06521383006977803,0.36,0.52,0.7333866940837065,0.7619154010530113,social
1,real_domain_rank,15.0,15.0,1.0,0.3333333333333333,0.02912346512082801,0.0009259259259256636,0.10985517058269084,0.4,0.6,0.7705077680679151,0.7996312331887431,text
3,baseline_stats,143.0,143.0,0.972027972027972,0.46153846153846156,0.02109118670487514,1.668056713932664e-05,0.0561,0.49640287769784175,0.6690647482014388,0.7948522897577348,0.81594347646261,biology
3,baseline_stats,40.0,40.0,1.0,0.35,0.039439340200190985,0.0044186905531442555,0.1049784138858408,0.4,0.575,0.799740568327905,0.839179908528096,education
3,baseline_stats,60.0,60.0,1.0,0.6166666666666667,0.027450108701094524,0.0,0.09801177411614155,0.6333333333333333,0.7166666666666667,0.7067535877760894,0.7342036964771839,finance
3,baseline_stats,48.0,48.0,1.0,0.22916666666666666,0.026090349746170253,0.01386820554924001,0.06773121654455479,0.25,0.4166666666666667,0.7899859975568003,0.8160763473029705,health
3,baseline_stats,35.0,35.0,0.9714285714285714,0.37142857142857144,0.021688663958675036,0.0008870829112003209,0.0819799720540289,0.4411764705882353,0.6764705882352942,0.847365152323534,0.8690538162822091,image
3,baseline_stats,164.0,164.0,1.0,0.3780487804878049,0.03072796293671275,0.004249989520393127,0.0837801450452892,0.4146341463414634,0.5853658536585366,0.820210626637969,0.8509385895746814,other
3,baseline_stats,16.0,16.0,1.0,0.375,0.023991588869462347,0.006376108811135872,0.0812879699429932,0.4375,0.6875,0.8474114047802652,0.8714029936497275,sensor_signal
3,baseline_stats,26.0,26.0,0.9615384615384616,0.3076923076923077,0.01863732378697237,0.007999999999999896,0.05772091161626385,0.32,0.6,0.7432780772660389,0.7619154010530115,social
3,baseline_stats,15.0,15.0,1.0,0.4,0.02604976959729444,0.00042283298097256505,0.10985517058269084,0.4666666666666667,0.6666666666666666,0.7735814635914487,0.7996312331887432,text
3,real_domain_rank,143.0,143.0,0.972027972027972,0.44755244755244755,0.02171072555573794,4.389815627725557e-05,0.0561,0.4892086330935252,0.6618705035971223,0.7948241493134518,0.8165348748691899,biology
3,real_domain_rank,40.0,40.0,1.0,0.4,0.030230929458079193,0.0007827118717716464,0.07835000000000016,0.45,0.65,0.8089489790700167,0.839179908528096,education
3,real_domain_rank,60.0,60.0,1.0,0.6833333333333333,0.014111374173606655,0.0,0.024770638118261024,0.7,0.8333333333333334,0.7200923223035773,0.7342036964771839,finance
3,real_domain_rank,48.0,48.0,1.0,0.20833333333333334,0.027143767839454283,0.013928571428571512,0.06773121654455479,0.22916666666666666,0.3958333333333333,0.7889325794635162,0.8160763473029705,health
3,real_domain_rank,35.0,35.0,0.9714285714285714,0.5428571428571428,0.009752532229134333,0.0,0.03246653307838502,0.6176470588235294,0.8235294117647058,0.8593012840530747,0.8690538162822091,image
3,real_domain_rank,164.0,164.0,1.0,0.4146341463414634,0.031096171399692642,0.0016599117478964809,0.08840813008130077,0.4573170731707317,0.6036585365853658,0.819842418174989,0.8509385895746814,other
3,real_domain_rank,16.0,16.0,1.0,0.375,0.02477805844495828,0.007494540753712087,0.0812879699429932,0.4375,0.625,0.8466249352047692,0.8714029936497275,sensor_signal
3,real_domain_rank,26.0,26.0,0.9615384615384616,0.3076923076923077,0.020173873388515808,0.009049648854132508,0.05772091161626385,0.32,0.52,0.7417415276644956,0.7619154010530115,social
3,real_domain_rank,15.0,15.0,1.0,0.3333333333333333,0.026938959004577562,0.0009259259259256636,0.10985517058269084,0.4,0.6,0.7726922741841656,0.7996312331887432,text
5,baseline_stats,143.0,143.0,0.986013986013986,0.46153846153846156,0.02252085736682859,4.389815627725557e-05,0.05708050816371946,0.48936170212765956,0.6595744680851063,0.7879690678810302,0.8104899252478586,biology
5,baseline_stats,40.0,40.0,1.0,0.225,0.03566405267502017,0.009581081081080967,0.08138334027881546,0.275,0.5,0.8035158558530757,0.8391799085280958,education
5,baseline_stats,60.0,60.0,1.0,0.6166666666666667,0.021822496935094474,0.0,0.08252333333333346,0.6333333333333333,0.7666666666666667,0.7123811995420896,0.734203696477184,finance
5,baseline_stats,48.0,48.0,0.9791666666666666,0.3125,0.019683146538895916,0.009783183500793213,0.04153826866420118,0.3617021276595745,0.5106382978723404,0.7937735485790316,0.8134566951179273,health
