config,seed,permutation_id,fold,n_test,accuracy,f1_macro,top3_accuracy,mean_regret,zero_regret_rate,within_1pp_rate,regret_coverage
shuffled_domain_rank,42,22.0,1,115,0.40869565217391307,0.27136915372209486,0.7739130434782608,0.02284271484811117,0.4434782608695652,0.7130434782608696,1.0
shuffled_domain_rank,42,22.0,2,108,0.4166666666666667,0.28132275132275125,0.8703703703703703,0.0324129683585615,0.4351851851851852,0.5462962962962963,1.0
shuffled_domain_rank,42,22.0,3,108,0.37962962962962965,0.25597055829613974,0.8148148148148148,0.030779806907293494,0.42592592592592593,0.5555555555555556,1.0
shuffled_domain_rank,42,22.0,4,108,0.3888888888888889,0.28715223978978943,0.8703703703703703,0.02574463167203645,0.4339622641509434,0.5849056603773585,0.9814814814814815
shuffled_domain_rank,42,22.0,5,108,0.32407407407407407,0.19318075550633687,0.8055555555555556,0.0272640182680488,0.3490566037735849,0.5849056603773585,0.9814814814814815
shuffled_domain_rank,42,23.0,1,115,0.43478260869565216,0.2907593180812995,0.7652173913043478,0.02120980009607477,0.4782608695652174,0.7304347826086957,1.0
shuffled_domain_rank,42,23.0,2,108,0.5185185185185185,0.3668854217084721,0.8888888888888888,0.019381945952787905,0.5277777777777778,0.6388888888888888,1.0
shuffled_domain_rank,42,23.0,3,108,0.39814814814814814,0.2688337350444054,0.8148148148148148,0.027749378766057212,0.4444444444444444,0.6018518518518519,1.0
shuffled_domain_rank,42,23.0,4,108,0.4074074074074074,0.3073546823546824,0.8240740740740741,0.02631644015860699,0.4485981308411215,0.616822429906542,0.9907407407407407
shuffled_domain_rank,42,23.0,5,108,0.2962962962962963,0.16322536747039426,0.8240740740740741,0.02852499856028348,0.330188679245283,0.5754716981132075,0.9814814814814815
shuffled_domain_rank,42,24.0,1,115,0.4260869565217391,0.28672691830586566,0.7652173913043478,0.022194599835482717,0.4608695652173913,0.7043478260869566,1.0
shuffled_domain_rank,42,24.0,2,108,0.4444444444444444,0.3055145202001705,0.8703703703703703,0.02685830409486039,0.46296296296296297,0.5925925925925926,1.0
shuffled_domain_rank,42,24.0,3,108,0.37962962962962965,0.2535194102609833,0.8055555555555556,0.031273574932315924,0.42592592592592593,0.5740740740740741,1.0
shuffled_domain_rank,42,24.0,4,108,0.4074074074074074,0.3043786168786169,0.8148148148148148,0.025267265486122657,0.4528301886792453,0.6132075471698113,0.9814814814814815
shuffled_domain_rank,42,24.0,5,108,0.32407407407407407,0.16876181207864374,0.8148148148148148,0.026069222466995865,0.34579439252336447,0.616822429906542,0.9907407407407407
shuffled_domain_rank,42,25.0,1,115,0.40869565217391307,0.2708334244139871,0.7391304347826086,0.024599294325681965,0.4434782608695652,0.6956521739130435,1.0
shuffled_domain_rank,42,25.0,2,108,0.42592592592592593,0.3189814667134518,0.8888888888888888,0.033041477487659204,0.4351851851851852,0.5648148148148148,1.0
shuffled_domain_rank,42,25.0,3,108,0.35185185185185186,0.23979690522243713,0.8055555555555556,0.026332673142997146,0.39814814814814814,0.5555555555555556,1.0
shuffled_domain_rank,42,25.0,4,108,0.4074074074074074,0.3024145061935817,0.8425925925925926,0.02549417063334933,0.44339622641509435,0.6132075471698113,0.9814814814814815
shuffled_domain_rank,42,25.0,5,108,0.3425925925925926,0.19758053789642646,0.7870370370370371,0.02495671486037183,0.37735849056603776,0.6226415094339622,0.9814814814814815
shuffled_domain_rank,42,26.0,1,115,0.41739130434782606,0.2627552232736679,0.8,0.02276671783184149,0.45217391304347826,0.6956521739130435,1.0
shuffled_domain_rank,42,26.0,2,108,0.42592592592592593,0.30568849422241895,0.8796296296296297,0.032125019345566136,0.4351851851851852,0.5555555555555556,1.0
shuffled_domain_rank,42,26.0,3,108,0.3333333333333333,0.22044084253386576,0.8055555555555556,0.03255555977394668,0.37962962962962965,0.5370370370370371,1.0
shuffled_domain_rank,42,26.0,4,108,0.4074074074074074,0.30595773903542334,0.8796296296296297,0.02510045758149273,0.45794392523364486,0.6355140186915887,0.9907407407407407
shuffled_domain_rank,42,26.0,5,108,0.3425925925925926,0.20360209099894022,0.8148148148148148,0.02230346063259858,0.38095238095238093,0.6285714285714286,0.9722222222222222
shuffled_domain_rank,42,27.0,1,115,0.40869565217391307,0.2555555555555556,0.7739130434782608,0.023101913518015053,0.4434782608695652,0.6869565217391305,1.0
shuffled_domain_rank,42,27.0,2,108,0.48148148148148145,0.3302950116216699,0.8703703703703703,0.026989260390401504,0.5,0.6018518518518519,1.0
shuffled_domain_rank,42,27.0,3,108,0.3611111111111111,0.24480372834031372,0.8148148148148148,0.03147793537900039,0.4074074074074074,0.5462962962962963,1.0
shuffled_domain_rank,42,27.0,4,108,0.37962962962962965,0.28823149680292537,0.8611111111111112,0.025843744591493505,0.41509433962264153,0.5849056603773585,0.9814814814814815
