config,seed,permutation_id,accuracy,f1_macro,top3_accuracy,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,regret_coverage,accuracy_delta_vs_baseline,accuracy_effect_vs_baseline,f1_macro_delta_vs_baseline,f1_macro_effect_vs_baseline,top3_accuracy_delta_vs_baseline,top3_accuracy_effect_vs_baseline,mean_regret_delta_vs_baseline,mean_regret_effect_vs_baseline,zero_regret_rate_delta_vs_baseline,zero_regret_rate_effect_vs_baseline,within_1pp_rate_delta_vs_baseline,within_1pp_rate_effect_vs_baseline
shuffled_domain_rank,42,18.0,0.39488117001828155,0.2692578856070938,0.8171846435100548,0.026932299865754804,0.002677598254069713,0.08521039134134226,0.4264705882352941,0.6231617647058824,0.9945155393053017,-0.009140767824497242,-0.009140767824497242,-0.012838204756852711,-0.012838204756852711,-0.005484460694698434,-0.005484460694698434,0.0006064369699995756,-0.0006064369699995756,-0.009758616940306664,-0.009758616940306664,0.013180248994237309,0.013180248994237309
shuffled_domain_rank,42,19.0,0.38391224862888484,0.26020267830011257,0.8190127970749543,0.027155115922904184,0.0036513859275052463,0.07993619963889981,0.4209558823529412,0.5992647058823529,0.9945155393053017,-0.020109689213893944,-0.020109689213893944,-0.02189341206383394,-0.02189341206383394,-0.003656307129798919,-0.003656307129798919,0.0008292530271489552,-0.0008292530271489552,-0.015273322822659585,-0.015273322822659585,-0.010716809829292129,-0.010716809829292129
shuffled_domain_rank,42,20.0,0.37477148080438755,0.2642198460629242,0.829981718464351,0.02826604912620965,0.0035714285714284477,0.08526454960342256,0.40699815837937386,0.5966850828729282,0.9926873857404022,-0.029250457038391242,-0.029250457038391242,-0.017876244301022304,-0.017876244301022304,0.007312614259597727,0.007312614259597727,0.0019401862304544194,-0.0019401862304544194,-0.0292310467962269,-0.0292310467962269,-0.013296432838716843,-0.013296432838716843
shuffled_domain_rank,42,21.0,0.3711151736745887,0.26500746635132605,0.8190127970749543,0.029656229521930283,0.003965671641791013,0.09260269001768494,0.4040590405904059,0.584870848708487,0.9908592321755028,-0.032906764168190106,-0.032906764168190106,-0.017088624012620457,-0.017088624012620457,-0.003656307129798919,-0.003656307129798919,0.003330366626175054,-0.003330366626175054,-0.03217016458519484,-0.03217016458519484,-0.025110667003158005,-0.025110667003158005
shuffled_domain_rank,42,22.0,0.38391224862888484,0.26437201089468215,0.8263254113345521,0.027754417734611715,0.003270131011976374,0.07997873171035644,0.4180478821362799,0.5985267034990792,0.9926873857404022,-0.020109689213893944,-0.020109689213893944,-0.017724079469264353,-0.017724079469264353,0.003656307129798808,0.003656307129798808,0.0014285548388564863,-0.0014285548388564863,-0.01818132303932085,-0.01818132303932085,-0.011454812212565835,-0.011454812212565835
shuffled_domain_rank,42,23.0,0.4113345521023766,0.287770950716588,0.8226691042047533,0.024575034972508947,0.0020000000000000573,0.07206357694592988,0.44669117647058826,0.6341911764705882,0.9945155393053017,0.007312614259597838,0.007312614259597838,0.005674860352641475,0.005674860352641475,0.0,0.0,-0.0017508279232462814,0.0017508279232462814,0.010461971294987493,0.010461971294987493,0.024209660758943152,0.024209660758943152
shuffled_domain_rank,42,24.0,0.396709323583181,0.2722151287640546,0.8135283363802559,0.026283747907193223,0.002677598254069713,0.0746250000000001,0.43014705882352944,0.6213235294117647,0.9945155393053017,-0.007312614259597783,-0.007312614259597783,-0.00988096159989188,-0.00988096159989188,-0.009140767824497353,-0.009140767824497353,-4.2114988562005906e-05,4.2114988562005906e-05,-0.006082146352071327,-0.006082146352071327,0.011342013700119669,0.011342013700119669
shuffled_domain_rank,42,25.0,0.3875685557586837,0.27234757212245336,0.8117001828153565,0.026867626110310783,0.0029850746268655914,0.08400831696800337,0.4198895027624309,0.6114180478821363,0.9926873857404022,-0.01645338208409508,-0.01645338208409508,-0.009748518241493143,-0.009748518241493143,-0.010968921389396757,-0.010968921389396757,0.0005417632145555545,-0.0005417632145555545,-0.016339702413169843,-0.016339702413169843,0.0014365321704912226,0.0014365321704912226
shuffled_domain_rank,42,26.0,0.3857404021937843,0.26498348085781115,0.8354661791590493,0.026945280705730622,0.0029850746268655914,0.08041275917065395,0.42173112338858193,0.6114180478821363,0.9926873857404022,-0.018281535648994485,-0.018281535648994485,-0.017112609506135357,-0.017112609506135357,0.01279707495429605,0.01279707495429605,0.0006194178099753929,-0.0006194178099753929,-0.014498081787018835,-0.014498081787018835,0.0014365321704912226,0.0014365321704912226
shuffled_domain_rank,42,27.0,0.3912248628884826,0.27165221525859035,0.8281535648994516,0.02652386918427733,0.0028153370426185487,0.07350939011968437,0.4264705882352941,0.6066176470588235,0.9945155393053017,-0.012797074954296161,-0.012797074954296161,-0.01044387510535616,-0.01044387510535616,0.005484460694698323,0.005484460694698323,0.00019800628852210261,-0.00019800628852210261,-0.009758616940306664,-0.009758616940306664,-0.0033638686528215667,-0.0033638686528215667
